date,well id,wl
5/30/2017,SDLD2,0.29519
5/30/2017,SDLD5,-5.4595994
5/30/2017,SDLD6,-8.391696
5/31/2017,SDLD1,60.090333
5/31/2017,SDLD2,0.29519
5/31/2017,SDLD5,-5.4395994
5/31/2017,SDLD6,-8.391696
6/1/2017,SDLD1,60.130333
6/1/2017,SDLD2,0.29519
6/1/2017,SDLD5,-5.4295994
6/1/2017,SDLD6,-8.401696
6/2/2017,SDLD1,60.140333
6/2/2017,SDLD2,0.29519
6/2/2017,SDLD5,-5.4595994
6/2/2017,SDLD6,-8.411696
6/3/2017,SDLD1,60.140333
6/3/2017,SDLD2,0.29519
6/3/2017,SDLD5,-5.4895994
6/3/2017,SDLD6,-8.421696
6/4/2017,SDLD1,60.150333
6/4/2017,SDLD2,0.29519
6/4/2017,SDLD5,-5.4995994
6/4/2017,SDLD6,-8.421696
6/5/2017,SDLD1,60.180333
6/5/2017,SDLD2,0.29519
6/5/2017,SDLD5,-5.4395994
6/5/2017,SDLD6,-8.421696
6/6/2017,SDLD1,60.230333
6/6/2017,SDLD2,0.29519
6/6/2017,SDLD5,-5.3495994
6/6/2017,SDLD6,-8.431696
6/7/2017,SDLD1,60.270333
6/7/2017,SDLD2,0.29519
6/7/2017,SDLD5,-5.3595994
6/7/2017,SDLD6,-8.421696
6/8/2017,SDLD1,60.290333
6/8/2017,SDLD2,0.29519
6/8/2017,SDLD5,-5.3595994
6/8/2017,SDLD6,-8.411696
6/9/2017,SDLD1,60.360333
6/9/2017,SDLD2,0.29519
6/9/2017,SDLD5,-5.3595994
6/9/2017,SDLD6,-8.411696
6/10/2017,SDLD1,60.410333
6/10/2017,SDLD2,0.29519
6/10/2017,SDLD5,-5.3495994
6/10/2017,SDLD6,-8.401696
6/11/2017,SDLD1,60.440333
6/11/2017,SDLD2,0.29519
6/11/2017,SDLD5,-5.3695994
6/11/2017,SDLD6,-8.421696
6/12/2017,SDLD1,60.450333
6/12/2017,SDLD2,0.29519
6/12/2017,SDLD5,-5.4095994
6/12/2017,SDLD6,-8.421696
6/13/2017,SDLD1,60.550333
6/13/2017,SDLD2,0.29519
6/13/2017,SDLD5,-5.3795994
6/13/2017,SDLD6,-8.421696
6/14/2017,SDLD1,60.610333
6/14/2017,SDLD2,0.29519
6/14/2017,SDLD5,-5.3595994
6/14/2017,SDLD6,-8.421696
6/15/2017,SDLD1,60.650333
6/15/2017,SDLD2,0.29519
6/15/2017,SDLD5,-5.3295994
6/15/2017,SDLD6,-8.431696
6/16/2017,SDLD1,60.680333
6/16/2017,SDLD2,0.29519
6/16/2017,SDLD5,-5.3195994
6/16/2017,SDLD6,-8.431696
6/17/2017,SDLD1,60.730333
6/17/2017,SDLD2,0.29519
6/17/2017,SDLD5,-5.2995994
6/17/2017,SDLD6,-8.431696
6/18/2017,SDLD1,60.780333
6/18/2017,SDLD2,0.29519
6/18/2017,SDLD5,-5.2995994
6/18/2017,SDLD6,-8.431696
6/19/2017,SDLD1,60.810333
6/19/2017,SDLD2,0.29519
6/19/2017,SDLD5,-5.3295994
6/19/2017,SDLD6,-8.431696
6/20/2017,SDLD1,60.840333
6/20/2017,SDLD2,0.29519
6/20/2017,SDLD5,-5.3595994
6/20/2017,SDLD6,-8.441696
6/21/2017,SDLD1,60.880333
6/21/2017,SDLD2,0.29519
6/21/2017,SDLD5,-5.3795994
6/21/2017,SDLD6,-8.421696
6/22/2017,SDLD1,60.840333
6/22/2017,SDLD2,0.29519
6/22/2017,SDLD5,-5.3795994
6/22/2017,SDLD6,-8.411696
6/23/2017,SDLD1,60.870333
6/23/2017,SDLD2,0.29519
6/23/2017,SDLD5,-5.3795994
6/23/2017,SDLD6,-8.411696
6/24/2017,SDLD1,60.940333
6/24/2017,SDLD2,0.29519
6/24/2017,SDLD5,-5.3595994
6/24/2017,SDLD6,-8.391696
6/25/2017,SDLD1,60.970333
6/25/2017,SDLD2,0.29519
6/25/2017,SDLD5,-5.3595994
6/25/2017,SDLD6,-8.381696
6/26/2017,SDLD1,60.970333
6/26/2017,SDLD2,0.29519
6/26/2017,SDLD5,-5.3695994
6/26/2017,SDLD6,-8.371696
6/27/2017,SDLD1,60.900333
6/27/2017,SDLD2,0.29519
6/27/2017,SDLD4,-13.911612
6/27/2017,SDLD5,-5.3995994
6/27/2017,SDLD6,-8.371696
6/28/2017,SDLD1,60.740333
6/28/2017,SDLD2,0.29519
6/28/2017,SDLD4,-13.911612
6/28/2017,SDLD5,-5.4395994
6/28/2017,SDLD6,-8.381696
6/29/2017,SDLD1,60.570333
6/29/2017,SDLD2,0.29519
6/29/2017,SDLD4,-13.911612
6/29/2017,SDLD5,-5.4695994
6/29/2017,SDLD6,-8.391696
6/30/2017,SDLD1,60.530333
6/30/2017,SDLD2,0.29519
6/30/2017,SDLD4,-13.911612
6/30/2017,SDLD5,-5.4495994
6/30/2017,SDLD6,-8.391696
7/1/2017,SDLD1,60.510333
7/1/2017,SDLD2,0.29519
7/1/2017,SDLD4,-14.521612
7/1/2017,SDLD5,-5.4595994
7/1/2017,SDLD6,-8.401696
7/2/2017,SDLD1,60.320333
7/2/2017,SDLD2,0.29519
7/2/2017,SDLD4,-15.301612
7/2/2017,SDLD5,-5.5195994
7/2/2017,SDLD6,-8.421696
7/3/2017,SDLD1,60.180333
7/3/2017,SDLD2,0.29519
7/3/2017,SDLD4,-15.931612
7/3/2017,SDLD5,-5.5795994
7/3/2017,SDLD6,-8.421696
7/4/2017,SDLD1,60.020333
7/4/2017,SDLD2,0.29519
7/4/2017,SDLD4,-16.431612
7/4/2017,SDLD5,-5.5995994
7/4/2017,SDLD6,-8.431696
7/5/2017,SDLD1,59.780333
7/5/2017,SDLD2,0.29519
7/5/2017,SDLD4,-16.451612
7/5/2017,SDLD5,-5.6395994
7/5/2017,SDLD6,-8.441696
7/6/2017,SDLD1,59.540333
7/6/2017,SDLD2,0.29519
7/6/2017,SDLD4,-15.871612
7/6/2017,SDLD5,-5.7095994
7/6/2017,SDLD6,-8.441696
7/7/2017,SDLD1,59.440333
7/7/2017,SDLD2,0.29519
7/7/2017,SDLD4,-15.371612
7/7/2017,SDLD5,-5.7195994
7/7/2017,SDLD6,-8.431696
7/8/2017,SDLD1,59.380333
7/8/2017,SDLD2,0.29519
7/8/2017,SDLD4,-14.941612
7/8/2017,SDLD5,-5.7295994
7/8/2017,SDLD6,-8.431696
7/9/2017,SDLD1,59.290333
7/9/2017,SDLD2,0.29519
7/9/2017,SDLD4,-14.641612
7/9/2017,SDLD5,-5.7595994
7/9/2017,SDLD6,-8.431696
7/10/2017,SDLD1,59.270333
7/10/2017,SDLD2,0.29519
7/10/2017,SDLD4,-14.411612
7/10/2017,SDLD5,-5.7795994
7/10/2017,SDLD6,-8.431696
7/11/2017,SDLD1,59.240333
7/11/2017,SDLD2,0.29519
7/11/2017,SDLD4,-14.321612
7/11/2017,SDLD5,-5.8195994
7/11/2017,SDLD6,-8.441696
7/12/2017,SDLD1,59.150333
7/12/2017,SDLD2,0.29519
7/12/2017,SDLD4,-14.871612
7/12/2017,SDLD5,-5.8395994
7/12/2017,SDLD6,-8.451696
7/13/2017,SDLD1,59.110333
7/13/2017,SDLD2,0.29519
7/13/2017,SDLD4,-16.001612
7/13/2017,SDLD5,-5.8895994
7/13/2017,SDLD6,-8.461696
7/14/2017,SDLD1,59.050333
7/14/2017,SDLD2,0.29519
7/14/2017,SDLD4,-16.771612
7/14/2017,SDLD5,-5.9495994
7/14/2017,SDLD6,-8.471696
7/15/2017,SDLD1,58.950333
7/15/2017,SDLD2,0.29519
7/15/2017,SDLD4,-16.891612
7/15/2017,SDLD5,-5.9795994
7/15/2017,SDLD6,-8.481696
7/16/2017,SDLD1,58.960333
7/16/2017,SDLD2,0.29519
7/16/2017,SDLD4,-16.921612
7/16/2017,SDLD5,-5.9895994
7/16/2017,SDLD6,-8.481696
7/17/2017,SDLD1,58.920333
7/17/2017,SDLD2,0.29519
7/17/2017,SDLD4,-17.041612
7/17/2017,SDLD5,-6.0095994
7/17/2017,SDLD6,-8.491696
7/18/2017,SDLD1,58.820333
7/18/2017,SDLD2,0.29519
7/18/2017,SDLD4,-17.481612
7/18/2017,SDLD5,-6.0795994
7/18/2017,SDLD6,-8.501696
7/19/2017,SDLD1,58.710333
7/19/2017,SDLD2,0.29519
7/19/2017,SDLD4,-17.881612
7/19/2017,SDLD5,-6.1295994
7/19/2017,SDLD6,-8.511696
7/20/2017,SDLD1,58.650333
7/20/2017,SDLD2,0.29519
7/20/2017,SDLD4,-18.291612
7/20/2017,SDLD5,-6.1595994
7/20/2017,SDLD6,-8.511696
7/21/2017,SDLD1,58.650333
7/21/2017,SDLD2,0.29519
7/21/2017,SDLD4,-18.671612
7/21/2017,SDLD5,-6.1295994
7/21/2017,SDLD6,-8.491696
7/22/2017,SDLD1,58.790333
7/22/2017,SDLD2,0.29519
7/22/2017,SDLD4,-18.791612
7/22/2017,SDLD5,-6.0595994
7/22/2017,SDLD6,-8.481696
7/23/2017,SDLD1,58.860333
